description,bathrooms,construction_status,built_up_area,bedrooms,furnishing,carpet_area,price,location
fully furnished 3 bhk flat for urgent sale from a reputed builder...for more details please contact me,2,Ready to Move,1400,3,Furnished,1300,5500000,"Payapalam, Kannur, Kerala"
"If you are on a lookout for reliable affordable housing project in Gurgaon, then it has to be Mahira Homes Affordable Housing Sector 95 Gurgaon. It is a low density project which houses 636 flats only and is built on 24 meters wide road. Many well-known hospitals, schools, malls, bank branches, parks and utility stores are present in neighborhood making Mahira homes 95 a preferred affordable residential destination for house hunters. Mahira homes offer clean and green environment, away from the hustle bustle of city life to ensure pollution free and peaceful living for its residents. Mahira group is recognized for building remarkable projects that hold brilliant construction quality a. Mahira homes 95 Gurgaon are built with utmost dedication to ensure every resident enjoys luxurious life and services that are beyond imagination of inhabitants. Mahira homes 95 are beautifully designed and have an imperial appearance so that you would fall in love with your new abode. Why delay, when you can move to your dream home in unbelievable low price? Book your flat at Mahira homes 95 Today",2,Under Construction,700,2,Semi-Furnished,500,2000000,"Sector 95, Gurgaon, Haryana"
"DS-MAX Sista, located at Uttarahalli, is a G+3 construction by DS-MAX Properties consisting of 2 & 3 BHK luxurious apartments. The 5 blocks in this project are loaded with all the amenities to suit your modern lifestyle and also offers a healthy return on investment for its buyers, which also yields a superior rental & resale value than its competitors. And, with the trusted brand of DS-MAX Properties accompanying it, the property appreciation is tripled in a matter of a few years.",3,Under Construction,1321,3,Unfurnished,1300,5020000,"Uttarahalli, Bengaluru, Karnataka"
"DS-MAX Synergy, located at Agrahara, Yelahanka Hobli, very near Kogilu Cross, Thanisandra Main road has already attracted the attention of the investors and the first-time home buyers. According to the analysts, top property consultants, and the researchers in the field, Thanisandra and the areas adjoining Thanisandra would reap the highest return on investment in the next five years.",2,Under Construction,1116,2,Unfurnished,1000,4129000,"Thanisandra, Bengaluru, Karnataka"
Ahuja O2 offers facilities such as Gymnasium and Lift.,2,Under Construction,752,2,Semi-Furnished,752,21500000,"Chunabhatti, Mumbai, Maharashtra"
The project offers Apartment with perfect combination of contemporary architecture and features to provide comfortable living.,2,Under Construction,697,2,Semi-Furnished,697,20000000,"Chunabhatti, Mumbai, Maharashtra"
"Each apartment of this project has modular kitchen, aqua guard water purifier and designer toilets. The location of this project adds charms to its quality as Mira Road East is located North of Mumbai and is a part of Mumbai Metropolitan Region. This place offers easy connectivity to major parts of Mumbai, Thane and Navi Mumbai. Many reputed schools, hospitals, shopping malls and recreational centres are located near to this place.",2,Under Construction,543,2,Unfurnished,543,10200000,"Mira Road East, Mumbai, Maharashtra"
"Unique Estate in Mira Road East, Mira Road And Beyond by Unique Shanti Developers Pvt Ltd Builders is a residential project. The project offers Apartment with perfect combination of contemporary architecture and features to provide comfortable living. The Apartment are of the following configurations: 1BHK and 2BHK The size of the Apartment ranges in between 37.0 Sq. mt and 102.19 Sq. mt Unique Estate price ranges from 59.00 Lacs to 89.10 Lacs. Unique Estate offers facilities such as Gymnasium and Lift. It also has amenity like Swimming pool. It also offers Car parking.",2,Under Construction,1100,2,Unfurnished,1100,9000000,"Mira Road East, Mumbai, Maharashtra"
"Unique Estate is a residential project by Unique Shanti Developers located at Mira Road East in Mira Road and Beyond. The key amenities of the project include . Owing to its location, facilities such as schools, hospitals, ATMs, and markets are available at a close distance from Unique Estate. An extensive network of public transports in the close vicinity makes the project accessible.",2,Under Construction,1040,2,Unfurnished,1040,8500000,"Mira Road East, Mumbai, Maharashtra"
This Diwali Book The Lowest Priced House In Chheharta Amritsar.,3,Ready to Move,1400,3,Furnished,900,2500000,"Ranjit Pura Chheharta, Amritsar, Punjab"
Bel Heights Apartments,2,Ready to Move,900,2,Semi-Furnished,800,2675000,"Azam Nagar, Belagavi, Karnataka"
2 BHK Flat for Sale in Etasha in Chintamani Nagar Hadapsar Pune 411028.,2,Ready to Move,810,2,Semi-Furnished,608,4000000,"Hadapsar, Pune, Maharashtra"
It's 2BHK available for sell in kharghar,2,Ready to Move,1200,2,Furnished,850,9700000,"Kharghar, Navi Mumbai, Maharashtra"
