description,bathrooms,construction_status,built_up_area,bedrooms,furnishing,carpet_area,price,location
"Silver Castle Springs is an ongoing premium Apartment project located near St.Thomas School Mukkolakkal, Trivandrum. This project offers spacious 2 and 3 BHK apartments on 10 floors totaling 30 apartments. The project is nearing completion & will be ready for delivery in Nov 2020.",2,Under Construction,1100,2,Unfurnished,870,4980001,"Vattiyoorkavu, Thiruvananthapuram, Kerala"
Ready flat for Sale at Garia Sitala Mandir with lift and all modern amenities. BROKERAGE 2%,2,Ready to Move,1200,3,Unfurnished,1000,6500000,"Garia, Rajpur Sonarpur, West Bengal"
"2 Bhk flat for sale in colve at upper ground floor . 110 sq.mtrs build up area with still car parking , swimming pool, kids play area and 24×7 security .",2,Ready to Move,1100,2,Unfurnished,1000,6500000,"Colva Beach, Colva, Goa"
"Silver Castle Springs is an ongoing premium Apartment project located near St.Thomas School Mukkolakkal, Trivandrum. This project offers spacious 2 and 3 BHK apartments on 10 floors totaling 30 apartments. The project will be ready by Nov 2020.",3,Under Construction,1560,3,Unfurnished,1232,6800000,"Nalanchira, Thiruvananthapuram, Kerala"
All the documents are clear with (O.C) certificate registered society,2,Ready to Move,550,1,Semi-Furnished,490,13500000,"Andheri West, Mumbai, Maharashtra"
2 bhk fully furnished flat for sale in jagatpura Nearby Akshyapatra temple,2,Ready to Move,1170,2,Semi-Furnished,920,2199999,"Jagatpura, Jaipur, Rajasthan"
%OFFER OFFER %,2,Under Construction,554,1,Unfurnished,411,2800000,"Taloja, Navi Mumbai, Maharashtra"
%OFFER OFFER %,2,New Launch,554,1,Unfurnished,411,2800000,"Taloja, Navi Mumbai, Maharashtra"
Facilities,2,Ready to Move,1150,2,Semi-Furnished,758,10500000,"Mira Road, Mumbai, Maharashtra"
2bhk furnished flat for sale excelent condition,2,Ready to Move,900,2,Furnished,800,3600000,"Umraogarh, RIICO Industrial Area Neemrana, Rajasthan"
"Dynamix is a residential project developed by Dynamix Group. The project offers very well designed 1,2BHK residential apartments. The project is well connected by various modes of transportation,",2,Under Construction,957,2,Semi-Furnished,575,9000000,"Dahisar East, Mumbai, Maharashtra"
Park,2,Under Construction,910,2,Semi-Furnished,809,2380000,"Sector 1 Noida extension, Greater Noida, Uttar Pradesh"
"“SASHANK ADVAITH” enjoys great connectivity as it is close Electronic city flyover (15 minutes) and Outer ring road (10 minutes), Sajapur Main Road (5 minutes) Bellandur (10 minutes)",2,Ready to Move,1180,2,Unfurnished,955,4835000,"Sarjapur Road, Bengaluru, Karnataka"
"2 BHK Flat for Sale in Fortune Siddhipriya in Handewadi Road Hadapsar Pune 411028, Semi Furnished Flat, Covered Car Parking Avaliable, Price = 36 Lac.",2,Ready to Move,827,2,Semi-Furnished,621,3600000,"Hadapsar, Pune, Maharashtra"
"Shree Pancham in Mira Road East, Mira Road And Beyond by Shree Pancham Associates and Dreams Creator is a residential project.",2,Ready to Move,950,2,Semi-Furnished,700,7250000,"Mira Road, Mumbai, Maharashtra"
Ready to move flat with fix furniture & garden facing balcony,2,Ready to Move,1125,2,Furnished,675,4000000,"Sargasan, Ahmedabad, Gujarat"
"Furnished 3BHK Flat 3Bath rooms Furnished flat at Murali nagar , WARRANTED FANS and KITCHEN CHIMNEY, ROYALE PLY DESIGNS IN HALL AND BED ROOM, LATEST LED TUBE LIGHTS, CEILING LIGHTS sanitary and Vitrified floor. Undivided share will be 30 sq yd, Available Car parking , 100% Loan facility.Cool and calm area, ready to occupy 100% vaastu.",3,Builder,1120,3,Ready to Move,5,4315000,"Murali Nagar, Vijayawada, Andhra Pradesh"
JDA approved flate in mansrovar,3,Ready to Move,1450,3,Semi-Furnished,1300,2550000,"Mansarovar, Jaipur, Rajasthan"
Lodha palava City 2 BHK flat available four wheeler parking 6 floor nearby pawar public School and clubhouse cricket stadium all amenities wonderful please purchase in this flat,2,Ready to Move,900,2,Semi-Furnished,784,5500000,"Nilje Gaon, Navi Mumbai, Maharashtra"
9⃣8⃣ 5⃣5⃣ 4⃣6⃣ 7⃣5⃣ 7⃣5⃣,2,Ready to Move,1200,3,Semi-Furnished,1050,2690000,"Landran, Mohali, Punjab"
"5 minutes walkable distance from proposed metro station, 5 min walkable distance from local market.",1,Ready to Move,632,1,Semi-Furnished,450,3600000,"Mumbai Central, Mumbai, Maharashtra"
Amenities :,2,Builder,532,2,Under Construction,2800,7400000,"Mira Road East, Mumbai, Maharashtra"
Brand new 2 BHK flat for sale.,2,Ready to Move,950,2,Unfurnished,831,5800000,"Kharadi, Pune, Maharashtra"
"Umiya Developers has recently launched its new project Oasis, located at Mira Road East in Mumbai. The possession is scheduled to be in possession on Dec 21. Mira Road and Beyond is well-connected through an integrated network of road and public transport. Various shopping options, educational institutions, hotels and recreation centres are located nearby.",2,Under Construction,392,1,Unfurnished,392,5500000,"Mira Road East, Mumbai, Maharashtra"
2 bedroom 2 washroom 1 kitchen 1 balkony,2,Ready to Move,450,2,Semi-Furnished,430,2800000,"Uttam Nagar, Delhi, Delhi"
"1Bhk for sale near station, near market, near masjid",1,Ready to Move,450,1,Unfurnished,390,2700000,"Mira Road, Mumbai, Maharashtra"
"Purva Silversands, an escape from Punes busy life, is the only beach-themed housing project in Mundhwa, which will encourage an active lifestyle by providing top of the range amenities encompassing basketball post, beach volleyball, 24-hours of power backup, club house, multi-gymnasium, intercom, play area, jogging tracks, security, tennis court, swimming pool, rain water harvesting, library, health facilities, community hall, broadband internet, badminton court, cafeteria, garden, indoor games, maintenance staff, recreation facilities, and meditation zone.pread over 0.77 acres in the heart of Pune, this property will enjoy close proximity to the near future business hubs along with Pune Junction Railway Station at 9 kms, Pune International Airport at 10 kms, Hinjewadi at 25 kms, and Swargate at a distance of 15 kms. Mundhwa, emerging as one of the prime residential feeder locations, is situated towards the east of Pune, and is in close proximity of technology hubs like Magarpatta and Kharadi. The locale offers smooth connectivity to various other parts of Pune, and boasts of a well developed social infrastructure comprising prominent educational institutions (Army Public School, Aman Setu School, Radcliffe School, The Bishops Co. Ed. School, Don Bosco High School, & The Orbit School), famous hotels & restaurants (Radisson Blu, Hyatt, Le Meredian, Kimchi, Global Punjab, Nirvana Kitchen Bistro Grille & Bar, Claypot, Domino's Pizza, & Faaso's), hospitals (Columbia Asia, Rakshak Hospital, Bharati Hospital, & KK Hospital), shopping centres, and big IT companies.",3,Under Construction,1375,3,Unfurnished,1057,10000000,"Mundhwa, Pune, Maharashtra"
"MIG super, first floor, B-road, 3bhk phase 11",2,Ready to Move,1200,3,Semi-Furnished,1100,3700000,"Sector 70, Mohali, Punjab"
"జగ్గయ్యపేట అలంకార్ థియేటర్ పక్కన గాయత్రి అపార్ట్మెంట్ ముత్యాల బజార్లో తూర్పు ప్లాటు 3rd floor, మనీ ఎమర్జెన్సీ మనీ పర్పస్",2,Ready to Move,1400,2,Semi-Furnished,1000,2600000,"Balusupadu, Jaggaiahpet, Andhra Pradesh"
"Anutham by Gada Group, located in Hadapsar, Pune, offers apartments, with the price being on request. The amenities include gymnasium, childrens play area, club house, multipurpose room, intercom, 24x7 security, power backup, indoor games, car parking, community hall, and video door phone. Situated around 8.5 kilometers from the heart of the city, Hadapsar is an eastern suburb of Pune, which is not only one of the fastest growing localities but also houses numerous IT and BPO companies. The closest railway station is at a distance of 2 kilometers from here",2,Under Construction,1132,2,Unfurnished,871,9400000,"Hadapsar, Pune, Maharashtra"
"“SASHANK ADVAITH” enjoys great connectivity as it is close Electronic city flyover (15 minutes) and Outer ring road (10 minutes), Sajapur Main Road (5 minutes) Bellandur (10 minutes)",2,Ready to Move,1180,2,Unfurnished,955,4835000,"Sarjapur Road, Bengaluru, Karnataka"
"2 BHK Flat for Sale in Fortune Siddhipriya in Handewadi Road Hadapsar Pune 411028, Semi Furnished Flat, Covered Car Parking Avaliable, Price = 36 Lac.",2,Ready to Move,827,2,Semi-Furnished,621,3600000,"Hadapsar, Pune, Maharashtra"
Ready to move flat with fix furniture & garden facing balcony,2,Ready to Move,1125,2,Furnished,675,4000000,"Sargasan, Ahmedabad, Gujarat"
"Shree Pancham in Mira Road East, Mira Road And Beyond by Shree Pancham Associates and Dreams Creator is a residential project.",2,Ready to Move,950,2,Semi-Furnished,700,7250000,"Mira Road, Mumbai, Maharashtra"
The project is sufficed with all modern amenities and covers 3 BHK apartments.,3,Under Construction,1566,3,Unfurnished,908,4959300,"Vaishno Devi, Ahmedabad, Gujarat"
2bhk luxury flat in mansrover on road,2,Ready to Move,900,2,Semi-Furnished,800,1625000,"Mansarovar Extension, Jaipur, Rajasthan"
"Ready to move in, fully furnished flat includes 1.5 Ton Voltas Ac, Double Door Fridge, 48inch TV, & Bed.",1,Ready to Move,320,1,Furnished,310,2100000,"Kisan Nagar, Thane, Maharashtra"
Lodha palava City 2 BHK flat available four wheeler parking 6 floor nearby pawar public School and clubhouse cricket stadium all amenities wonderful please purchase in this flat,2,Ready to Move,900,2,Semi-Furnished,784,5500000,"Nilje Gaon, Navi Mumbai, Maharashtra"
"5 minutes walkable distance from proposed metro station, 5 min walkable distance from local market.",1,Ready to Move,632,1,Semi-Furnished,450,3600000,"Mumbai Central, Mumbai, Maharashtra"
"Umiya Developers has recently launched its new project Oasis, located at Mira Road East in Mumbai. The possession is scheduled to be in possession on Dec 21. Mira Road and Beyond is well-connected through an integrated network of road and public transport. Various shopping options, educational institutions, hotels and recreation centres are located nearby.",2,Under Construction,392,1,Unfurnished,392,5500000,"Mira Road East, Mumbai, Maharashtra"
Amenities :,2,Builder,532,2,Under Construction,2800,7400000,"Mira Road East, Mumbai, Maharashtra"
Brand new 2 BHK flat for sale.,2,Ready to Move,950,2,Unfurnished,831,5800000,"Kharadi, Pune, Maharashtra"
"1Bhk for sale near station, near market, near masjid",1,Ready to Move,450,1,Unfurnished,390,2700000,"Mira Road, Mumbai, Maharashtra"
2 bedroom 2 washroom 1 kitchen 1 balkony,2,Ready to Move,450,2,Semi-Furnished,430,2800000,"Uttam Nagar, Delhi, Delhi"
"జగ్గయ్యపేట అలంకార్ థియేటర్ పక్కన గాయత్రి అపార్ట్మెంట్ ముత్యాల బజార్లో తూర్పు ప్లాటు 3rd floor, మనీ ఎమర్జెన్సీ మనీ పర్పస్",2,Ready to Move,1400,2,Semi-Furnished,1000,2600000,"Balusupadu, Jaggaiahpet, Andhra Pradesh"
"MIG super, first floor, B-road, 3bhk phase 11",2,Ready to Move,1200,3,Semi-Furnished,1100,3700000,"Sector 70, Mohali, Punjab"
"Purva Silversands, an escape from Punes busy life, is the only beach-themed housing project in Mundhwa, which will encourage an active lifestyle by providing top of the range amenities encompassing basketball post, beach volleyball, 24-hours of power backup, club house, multi-gymnasium, intercom, play area, jogging tracks, security, tennis court, swimming pool, rain water harvesting, library, health facilities, community hall, broadband internet, badminton court, cafeteria, garden, indoor games, maintenance staff, recreation facilities, and meditation zone.pread over 0.77 acres in the heart of Pune, this property will enjoy close proximity to the near future business hubs along with Pune Junction Railway Station at 9 kms, Pune International Airport at 10 kms, Hinjewadi at 25 kms, and Swargate at a distance of 15 kms. Mundhwa, emerging as one of the prime residential feeder locations, is situated towards the east of Pune, and is in close proximity of technology hubs like Magarpatta and Kharadi. The locale offers smooth connectivity to various other parts of Pune, and boasts of a well developed social infrastructure comprising prominent educational institutions (Army Public School, Aman Setu School, Radcliffe School, The Bishops Co. Ed. School, Don Bosco High School, & The Orbit School), famous hotels & restaurants (Radisson Blu, Hyatt, Le Meredian, Kimchi, Global Punjab, Nirvana Kitchen Bistro Grille & Bar, Claypot, Domino's Pizza, & Faaso's), hospitals (Columbia Asia, Rakshak Hospital, Bharati Hospital, & KK Hospital), shopping centres, and big IT companies.",3,Under Construction,1375,3,Unfurnished,1057,10000000,"Mundhwa, Pune, Maharashtra"
Commercial,2,Ready to Move,1350,3,Semi-Furnished,956,3145000,"Sector 1 Noida extension, Greater Noida, Uttar Pradesh"
"Anutham by Gada Group, located in Hadapsar, Pune, offers apartments, with the price being on request. The amenities include gymnasium, childrens play area, club house, multipurpose room, intercom, 24x7 security, power backup, indoor games, car parking, community hall, and video door phone. Situated around 8.5 kilometers from the heart of the city, Hadapsar is an eastern suburb of Pune, which is not only one of the fastest growing localities but also houses numerous IT and BPO companies. The closest railway station is at a distance of 2 kilometers from here",2,Under Construction,1132,2,Unfurnished,871,9400000,"Hadapsar, Pune, Maharashtra"
"2 BHK Flat for Sale in Patil Hill View in Handewadi Road Hadapsar Pune 411028, Unfurnished Flat, Common Parking Avaliable, Price = 37 Lac.",2,Ready to Move,850,2,Unfurnished,638,3700000,"Hadapsar, Pune, Maharashtra"
LABH PROPERTY LP ID: 6234,2,Ready to Move,1080,2,Semi-Furnished,700,3500000,"Harni Road, Vadodara, Gujarat"
"1Bhk at Rs.12 lakh (Including all GST, Registration & all) in a Luxury Complex project in Kaliganjmore Bidhannagar, Durgapur-713212.",1,Under Construction,522,1,Semi-Furnished,392,1200000,"Bidhannagar, Durgapur, West Bengal"
"dreams solace , handewadi road , pune.",2,Ready to Move,700,2,Unfurnished,550,3100000,"Hadapsar, Pune, Maharashtra"
"2 BHK Flat With Modular Kitchen /Spacious Bedrooms with Attached Washrooms Beautifully Designer Wardrobes, Fabulous Fall ceiling with LED Lights /Balcony /Washing Area Rady to Move Flat for sale in Peermuchalla just near sector 20 Punchkula Available in Gated Society With Car Parking Spaces",2,Ready to Move,1150,2,Semi-Furnished,1050,2750000,"Sector 20, Panchkula, Haryana"
IYYAPANTHANGAL PROJECT,1,Ready to Move,569,1,Unfurnished,512,2556000,"Iyyappanthangal, Chennai, Tamil Nadu"
2 & 3 BHK Lavish Homes Project.,3,Under Construction,1358,3,Unfurnished,1008,11400000,"Balewadi, Pune, Maharashtra"
"Fully furnished flat, you need not to spend even one rupee",2,Ready to Move,1900,3,Furnished,1899,4100000,"Gurudev Nagar, Jalandhar, Punjab"
The society attach to the main road. This flat has Covered car parking. In this Society all Amenities available.,2,Ready to Move,1168,2,Unfurnished,985,7700000,"Viman Nagar, Pune, Maharashtra"
"2 bhk penthouse available for sale in Camelot Royale, viman nagar.",2,Ready to Move,1240,2,Unfurnished,950,8300000,"Viman Nagar, Pune, Maharashtra"
"Premium 3 bhk unfurnished flat available for sale Pristine Pronext, wakad.",3,Under Construction,1455,3,Unfurnished,1080,11000000,"Wakad, Pune, Maharashtra"
"Beautiful 2 bhk, 2 toilet, non sanction beautiful location, 7 min walking distance from Kavi nazrul metro station, 2 bhk 1st floor flat sale immediately. No loan. All paper's are up to date. Only cash purchase party are required. Immediately available. Brokerage 2%.",2,Ready to Move,750,2,Unfurnished,600,2625000,"Patuli, Kolkata, West Bengal"
"Silver Castle Springs is an ongoing premium Apartment project located near St.Thomas School Mukkolakkal, Trivandrum. This project offers spacious 2 and 3 BHK apartments on 10 floors totaling 30 apartments which is nearing completion.",2,Under Construction,1100,2,Unfurnished,870,4980003,"Nalanchira, Thiruvananthapuram, Kerala"
#surrounding connectivity for school.. Hospital.Restaurants..Shoping mall and many more.,1,Under Construction,740,1,Semi-Furnished,450,6000000,"Mira Road East, Mumbai, Maharashtra"
"Lodha Allura is a 75+ storey skyscraper, that offers luxurious 2 Bed residences with premium finishing and European fitments are designed for enhanced",2,Ready to Move,892,2,Semi-Furnished,892,90000,"Worli, Mumbai, Maharashtra"
Launching Tower B at Beaumonte Sion's tallest and grandest residential tower. Enjoy all lifestyle amenities spread across 3 acres of land along with opulent,2,Ready to Move,938,2,Semi-Furnished,938,35100000,"Sion East, Mumbai, Maharashtra"
Ajmera Aeon offers facilities such as Gymnasium and Lift.,4,Ready to Move,1889,4,Semi-Furnished,1889,58000000,"Bhakti Park, Mumbai, Maharashtra"
The project offers Apartment with perfect combination of contemporary architecture and features to provide comfortable living. Sheth Beaumonte offers facilities such as Gymnasium and Lift.,3,Under Construction,1276,3,Semi-Furnished,1276,47200000,"Sion East, Mumbai, Maharashtra"
"Mira Road Located in the northern part of Mumbai, Mira-Bhayandar is a rapidly developing suburb of the city. It is a part of Mira Bhayandar Municipal Corporation and houses a railway station on the Western Line of the Mumbai Suburban Railway. The area has seen tremendous rise in real estate development over the recent years due to its easy accessibility to the rest of Mumbai and Thane via railways and roadways and lower cost of living. Population growth and a flurry of Real Estate development over the recent years has blurred the boundaries between Bhayandar and Mira Road. Owing to the highly escalated prices of homes in the rest of Mumbai and its already saturated & developed state, people are now exploring the suburbs like Bhayandar. Unlike most of the city, this area still has its natural beauty intact. By roadways, it is connected to the main city of Mumbai via the Western Express Highway. Bhayandar Flyover, Mira-Bhayandar and Uttan Road are few of the many roads that connect Bhayandar to its neighboring areas. The influx of a number of small and medium scale industries has further elevated the growth of this locale. Adjacent to Bhayandar is Gorai which houses the famous Goarai Beach and is a gateway to ""Essel World"" which is the perfect weekend destination for people residing in and around Bhayandar. Students residing here are blessed with a wide range of options of prominent educational institutes like NL Dalmia Institute of Management, Singapore International School, RBK International School, Holy Cross Convent School, St.Xaviers, Royal College and R.B. Kanakia. This place boasts of all the required essentials of a well-developed place such as hospitals, health care centers, restaurants and shopping complexes that has helped it become a promising extension to the main city. All these reasons contribute in making Mira Road a perfect place to reside in.",2,Ready to Move,1185,3,Unfurnished,1185,9700000,"Mira Road East, Mumbai, Maharashtra"
"Ajmera Aeon is a residential project located at Wadala East, Eastern Freeway, Mumbai. It is a unique project which offers 2 BHK",3,Ready to Move,1407,3,Semi-Furnished,1407,42000000,"Bhakti Park, Mumbai, Maharashtra"
Tharangini Homes,2,Under Construction,750,2,Unfurnished,675,2300000,"Maruthi Nagar, Hosur, Tamil Nadu"
"Swagat Heights, located in Mira Road Mumbai, is one of the residential developments of Swagat Property Developers. It offers spacious 1BHK, 2BHK, 3BHK apartments. The project is well equipped with all the amenities to facilitate the needs of the residents.",2,Ready to Move,1020,2,Unfurnished,1020,8100000,"Mira Road East, Mumbai, Maharashtra"
This apartment offers spectacular views of the Arabian Sea. Sit on your sofa and watch the yachts sail by. Special 3 bedroom apartment in one of the most sought after buildings and locations in Calicut.,3,Ready to Move,2295,3,Unfurnished,1800,9500000,"Elathur, Kozhikode, Kerala"
1096 Sq.Ft with Private Terrace,2,Under Construction,1096,2,Semi-Furnished,1096,5374203,"Medavakkam, Chennai, Tamil Nadu"
A Luxurious Lifestyle,2,Under Construction,532,2,Unfurnished,532,7400000,"Mira Road East, Mumbai, Maharashtra"
Sonam Builders has launched one of the most exclusive residential projects INDRAPRASTH - the royal kingdom.It has changed the face of Mira-Bhayander.It's futuristic design & modern amenities have made it a perfect solution for every home-seeker. It is elegantly combines the latest concepts of class living of 2BHK and 3BHK flats with the panoramic view of Jain Mandir.,2,Under Construction,952,3,Unfurnished,952,14500000,"Bhayandar East, Mumbai, Maharashtra"
Umiya Oasis,2,Under Construction,392,1,Unfurnished,392,5500000,"Mira Road East, Mumbai, Maharashtra"
3BHK,3,Ready to Move,1733,3,Semi-Furnished,1450,14000000,"Banjara Hills, Hyderabad, Telangana"
Very spacious and livable flat,2,Under Construction,765,2,Unfurnished,503,7500000,"Kharghar, Navi Mumbai, Maharashtra"
• Total Project Area: 40 acres,1,Under Construction,661,1,Semi-Furnished,454,1850000,"One Town, Vijayawada, Andhra Pradesh"
• Total Project Area: 40 acres,1,Under Construction,441,1,Semi-Furnished,229,1200000,"Gopavaram, Andhra Pradesh, India"
<> NOW GET EXTRA 2.67 LAC SUBSIDY UNDER P MAY SCHEME,3,Ready to Move,1400,3,Semi-Furnished,1300,4200000,"Patiala Road, Zirakpur, Punjab"
1 BHK Flat available for sale in Chandkheda,1,Ready to Move,756,1,Semi-Furnished,529,2250000,"Chandkheda, Ahmedabad, Gujarat"
2 BHK Flat for Sale in Celebration in Handewadi Road Hadapsar Pune 411028.,2,Ready to Move,900,2,Unfurnished,675,3200000,"Hadapsar, Pune, Maharashtra"
3 BHK READY TO MOVE FLAT,2,Ready to Move,1440,3,Semi-Furnished,675,3600000,"Uttam Nagar, Delhi, Delhi"
Property Description,2,Ready to Move,1000,2,Unfurnished,900,2450000,"Sunny Enclave, Kharar, Punjab"
Good location 25 hours power backup security CCTV 3 borewell and kaveri water.,2,Ready to Move,1500,3,Furnished,85,7800000,"Malleshpalya, Bengaluru, Karnataka"
2BHK IN PATHURI APARTMENT,2,Ready to Move,1150,2,Furnished,950,5800000,"NTR Colony, Vijayawada, Andhra Pradesh"
Luxury flat available in twin County sector 1 Noida extension geted society cctv camera false ceiling car parking lift led light all rooms gst included moduler kitchen 3 tier security 24/7 water supply shopping complex near by school hospital market Mall on road property in twin County,2,Ready to Move,910,2,Semi-Furnished,701,2365000,"Sector 1 Noida extension, Greater Noida, Uttar Pradesh"
"Karda Hari Kunj Mayflower in Karmayogi Nagar, Nasik by Karda Constructions Ltd is a residential project.",2,Under Construction,1148,2,Unfurnished,850,5697545,"Govind Nagar, Nashik, Maharashtra"
Three BHK Apartments for sale at kakkanad.,3,Ready to Move,1439,3,Unfurnished,1200,5200000,"Kakkanad, Kochi, Kerala"
3bhk Gorav WoodS Kankia Lift Loan Approval Master Bed Parking,2,Ready to Move,1100,3,Semi-Furnished,900,7500000,"Mira Road East, Mumbai, Maharashtra"
"Lodha palava city Rio is one of the most fabulous places for comfroteble living.It is situated in the word -class smart city, wich is Known as number one in india. thanks to the thought-out desing of the area,tha residents of the casa rio have everythingh the need at walking distance.Whether you want to make a purchase at a store, do some sport,or have deserved rest at the picturesque park",2,Ready to Move,1086,3,Semi-Furnished,910,6500000,"Palava City, Mumbai, Maharashtra"
"Imperia Aashiyara, a new affordable housing project is located in sector 37C, Gurgaon. The project is sprawling on 5 acres of prime land and consists 750 apartments of 2 BHK typology in various layouts.",2,Under Construction,1020,2,Semi-Furnished,650,2234000,"Sector 37C, Gurgaon, Haryana"
"Premium, precision, and posh are the right words to describe the ultimate beauty of Mahira Homes Sector 95. But, this does not mean that they are bound to dig a hole in your pocket. Certainly, not because they are reasonably priced homes backed with majestically appealing outlay. As the affordable housing sector 95 Gurgaon is developed on a premium location, you can have easy access to important points around. Now, considering the vastness of the project, it has been created on a land piece of more than 6 acres. This explicates the grandness offered by the property to its prospective buyers.",2,Under Construction,950,2,Semi-Furnished,650,2100000,"Sector 95, Gurgaon, Haryana"
"Silver Castle Springs is a premium Apartment project at Mukkolakkal, Trivandrum which is nearing completion. This project offers spacious 2 and 3 BHK apartments on 10 floors totaling 30 apartments. The project will be ready for delivery in 2 months.",3,Under Construction,1560,3,Unfurnished,1232,6800000,"Nalanchira, Thiruvananthapuram, Kerala"
Silver Castle Springs at Mukkolakal is located near St.Thomas School and is nearing completion. This project offers spacious 2 and 3 BHK apartments on 10 floors totaling 30 apartments.,2,Under Construction,1100,2,Unfurnished,870,4980020,"Nalanchira, Thiruvananthapuram, Kerala"
"Silver Castle Springs is an ongoing premium Apartment project located near St.Thomas School Mukkolakkal, Trivandrum. This project offers spacious 2 and 3 BHK apartments on 10 floors totaling 30 apartments. This project is nearing Completion & will be ready for handover in 2 months.",2,Under Construction,1100,2,Unfurnished,870,4980006,"Nalanchira, Thiruvananthapuram, Kerala"
This property located from kurla east.,1,Ready to Move,416,1,Unfurnished,416,11000000,"Kurla East, Mumbai, Maharashtra"
G+7 Building,2,Ready to Move,1065,2,Unfurnished,700,7550000,"Ulwe, Navi Mumbai, Maharashtra"
"1BHK FOR SELL IN CASA RIO, PALAVA PHASE 1",1,Ready to Move,585,1,Unfurnished,485,3500000,"Dombivli, Thane, Maharashtra"
2BHK FOR SELL IN CASA BELLA GOLD IN GATED COMMUNITY,2,Ready to Move,864,2,Unfurnished,632,5600000,"Dombivli, Thane, Maharashtra"
1 BHK for sell in Lodha Palava Lakeshore Greens with bedroom balcony,1,Ready to Move,720,1,Unfurnished,498,3600000,"Dombivli, Thane, Maharashtra"
2.5 BHK FOR SELL IN LODHA PALAVA LAKESHORE GREENS. THE PROJECT HAS WELL ROAD CONNECTIVITY,2,Ready to Move,1120,3,Unfurnished,850,7000000,"Dombivli, Thane, Maharashtra"
Lift,1,Ready to Move,625,1,Semi-Furnished,411,1600000,"Sector 1 Noida extension, Greater Noida, Uttar Pradesh"
*Project Features.,2,Ready to Move,910,2,Semi-Furnished,600,2400000,"Sector 1 Noida extension, Greater Noida, Uttar Pradesh"
2bhk flat for sale at Lohegaon moze nagar excellent location call for site visit,2,Ready to Move,850,2,Unfurnished,650,2500000,"Dhanori, Pune, Maharashtra"
Park facing 3BHK available for sale in SPS Residency.,3,Ready to Move,1650,3,Semi-Furnished,1500,8500000,"Indirapuram, Ghaziabad, Uttar Pradesh"
Prop chola garden,1,Ready to Move,550,1,Unfurnished,540,2700000,"Porur, Chennai, Tamil Nadu"
"JP Infra presents ""JP NOW OR NEVER"" the most luxurious & biggest project in and around Mira Road. Located in",2,Under Construction,380,1,Unfurnished,380,5100000,"Mira Road, Mumbai, Maharashtra"
This property located from kurla east.,1,Ready to Move,416,1,Unfurnished,416,11000000,"Kurla East, Mumbai, Maharashtra"
3.5cent1000sq3bhk8,3,Ready to Move,1000,3,Furnished,100,3000000,"Thirumala, Thiruvananthapuram, Kerala"
G+7 Building,2,Ready to Move,1065,2,Unfurnished,700,7550000,"Ulwe, Navi Mumbai, Maharashtra"
2BHK FOR SELL IN CASA BELLA GOLD IN GATED COMMUNITY,2,Ready to Move,864,2,Unfurnished,632,5600000,"Dombivli, Thane, Maharashtra"
"1BHK FOR SELL IN CASA RIO, PALAVA PHASE 1",1,Ready to Move,585,1,Unfurnished,485,3500000,"Dombivli, Thane, Maharashtra"
1 BHK for sell in Lodha Palava Lakeshore Greens with bedroom balcony,1,Ready to Move,720,1,Unfurnished,498,3600000,"Dombivli, Thane, Maharashtra"
Lift,1,Ready to Move,625,1,Semi-Furnished,411,1600000,"Sector 1 Noida extension, Greater Noida, Uttar Pradesh"
2.5 BHK FOR SELL IN LODHA PALAVA LAKESHORE GREENS. THE PROJECT HAS WELL ROAD CONNECTIVITY,2,Ready to Move,1120,3,Unfurnished,850,7000000,"Dombivli, Thane, Maharashtra"
2bhk flat for sale at Lohegaon moze nagar excellent location call for site visit,2,Ready to Move,850,2,Unfurnished,650,2500000,"Dhanori, Pune, Maharashtra"
3.5cent1000sq3bhk8,3,Ready to Move,1000,3,Furnished,100,3000000,"Thirumala, Thiruvananthapuram, Kerala"
*Project Features.,2,Ready to Move,910,2,Semi-Furnished,600,2400000,"Sector 1 Noida extension, Greater Noida, Uttar Pradesh"
5cent2100sq5bhk,4+,Ready to Move,2100,4+,Furnished,100,6300000,"Thirumala, Thiruvananthapuram, Kerala"
5cent2200sq4bhk,4,Ready to Move,2200,4,Furnished,100,6400000,"Thirumala, Thiruvananthapuram, Kerala"
"VTP Blue Water in Mahaluge, Pune by VTP Realty Group is a residential project.",3,Under Construction,1360,3,Unfurnished,1236,7100000,"Mahalunge, Pune, Maharashtra"
"VTP Bluewater Project is located at the perfect junction of Baner and Hinjawadi Phase 1 and straddled within the hub of the Aundh-Baner-Balewadi smart development corridor and the Hi-Tech Maan-Mahalunge Smart City, Offers stunning views within 100+ acres of lush greenery with a flowing river and hills.",2,Under Construction,1100,2,Unfurnished,815,5200000,"Mahalunge, Pune, Maharashtra"
"A 2 Bhk Ready 895 sq.ft. Flat sale on the 2nd floor of 3rd at Natun Para near Behala Chawrasta. School, College, Mall, Market, Hospital, Bank, ATM all are closed to this property.",2,Ready to Move,895,2,Unfurnished,750,3043000,"Behala Chowrasta, Kolkata, West Bengal"
Hi iam sale my newly East Facing 3 bhk flat near sbi coach factory branch Krishna nagar 1 km main railway station bhopal. One big hall and three bedrooms two balcony two toilet Kichen. 24 hours Light water parking Gaurd.,2,Ready to Move,1500,3,Unfurnished,1000,3000000,"Railway Colony, Bhopal, Madhya Pradesh"
3bhk fully furnished flat,2,Ready to Move,1200,3,Furnished,1100,2921000,"Mansarovar Extension, Jaipur, Rajasthan"
